class labels,features,ngrams,num_comp,classifier,measure,value
google,tfidf,bi,10,RBF SVM,Precision,0.4040625596
google,tfidf,all,400,RBF SVM,Score,0.5158730159
my,tfidf,bi,10,Neural Net,Score,0.380952381
google,tfidf,tri,100,Neural Net,Precision,0.3783068783
my,tfidf,quad,100,Linear SVM,Recall,0.4523809524
my,tfidf,bi,400,Naive Bayes,Recall,0.246031746
my,tfidf,all,200,Linear SVM,Precision,0.4848878677
my,tfidf,tri,300,Naive Bayes,Fscore,0.2655490435
my,numoc,bi,all,AdaBoost,Precision,0.0728143109
my,tfidf,all,400,Neural Net,Score,0.4761904762
google,tfidf,tri,200,Logistic Regression,Score,0.4682539683
google,tfidf,quad,300,Random Forest,Precision,0.3203856749
my,tfidf,bi,10,Neural Net,Precision,0.4365354223
my,tfidf,bi,10,Neural Net,Fscore,0.3855867332
google,tfidf,quad,10,Naive Bayes,Fscore,0.0968226192
my,tfidf,all,400,AdaBoost,Fscore,0.4034900844
my,tfidf,all,200,Random Forest,Recall,0.2857142857
google,tfidf,uni,200,AdaBoost,Fscore,0.3624353562
my,tfidf,tri,300,Random Forest,Fscore,0.2834352445
my,tfidf,tri,10,Naive Bayes,Fscore,0.2752140799
my,tfidf,tri,400,AdaBoost,Fscore,0.3660649142
my,tfidf,quad,200,Nearest Neighbors,Precision,0.3878994257
my,tfidf,quad,100,RBF SVM,Fscore,0.0808080808
google,justc,uni,all,Nearest Neighbors,Score,0.4206349206
my,tfidf,bi,200,RBF SVM,Fscore,0.0808080808
google,tfidf,uni,300,Dummy,Fscore,0.3511177595
my,tfidf,quad,200,AdaBoost,Precision,0.4728049359
google,numoc,uni,all,Nearest Neighbors,Precision,0.2445652174
my,tfidf,tri,300,AdaBoost,Fscore,0.4372636534
my,justc,bi,all,Decision Tree,Fscore,0.1146825397
my,numoc,bi,all,Nearest Neighbors,Fscore,0.0434877147
google,tfidf,all,300,RBF SVM,Score,0.5158730159
google,tfidf,bi,200,Nearest Neighbors,Fscore,0.368208218
google,numoc,tri,all,Neural Net,Fscore,0.3072196621
my,tfidf,uni,10,Naive Bayes,Recall,0.3571428571
google,tfidf,quad,300,Naive Bayes,Precision,0.2970392703
my,tfidf,all,10,Naive Bayes,Score,0.3412698413
google,tfidf,all,400,Dummy,Score,0.5158730159
my,tfidf,tri,200,Linear SVM,Recall,0.4047619048
my,tfidf,all,10,Decision Tree,Fscore,0.2740388821
